lat,lon,ele,name,text_date,text_time,t
28.013318,98.628172,1658.68,线路起点,2019-11-10,10:21:46,37306
28.014278,98.632266,1673.15,250,2019-11-10,10:22:14,37334
28.009695,98.63457,1677.52,1100,2019-11-10,10:22:53,37373
28.008137,98.632491,1673.93,1200,2019-11-10,10:23:08,37388
28.002033,98.631753,1660.16,1330,2019-11-10,10:23:47,37427
28.001018,98.637052,1666.83,2520,2019-11-10,10:24:20,37460
28.002282,98.638936,1670.96,2760,2019-11-10,10:24:32,37472
28.000995,98.641308,1640.82,3060,2019-11-10,10:24:49,37489
27.996673,98.644577,1614.75,3320,2019-11-10,10:25:14,37514
27.995222,98.643557,1606.28,3900,2019-11-10,10:25:35,37535
27.9933,98.646496,1574.34,4270,2019-11-10,10:25:55,37555
27.991355,98.646766,1572.12,4480,2019-11-10,10:26:06,37566
27.985823,98.645543,1538.34,5300,2019-11-10,10:26:44,37604
27.983385,98.647932,1544.26,5600,2019-11-10,10:27:02,37622
27.982327,98.651722,1547.72,5980,2019-11-10,10:27:21,37641
27.983129,98.653739,1557.14,6200,2019-11-10,10:27:33,37653
27.980167,98.655341,1558.26,6600,2019-11-10,10:27:55,37675
27.973044,98.655545,1560.3,7430,2019-11-10,10:28:31,37711
27.969824,98.659727,1545.8,8000,2019-11-10,10:28:53,37733
27.968595,98.66114,1547.26,8200,2019-11-10,10:29:01,37741
27.96838,98.66321,1531.21,8480,2019-11-10,10:29:22,37762
27.966811,98.665092,1532.69,8800,2019-11-10,10:29:41,37781
27.965077,98.665286,1529.24,9000,2019-11-10,10:29:52,37792
27.962423,98.66239,1513.24,6420,2019-11-10,10:30:08,37808
27.958552,98.656549,1500.83,10000,2019-11-10,10:30:33,37833
27.955537,98.654476,1501.47,10400,2019-11-10,10:30:50,37850
27.947108,98.65184,1489.09,11450,2019-11-10,10:31:28,37888
27.940037,98.652857,1497.34,12220,2019-11-10,10:32:00,37920
27.936628,98.652371,1482.42,12650,2019-11-10,10:32:15,37935
27.928561,98.650024,1493.81,13560,2019-11-10,10:33:09,37989
27.925545,98.655947,1502.13,14350,2019-11-10,10:34:00,38040
27.930148,98.669203,1488.32,15880,2019-11-10,10:34:59,38099
27.927195,98.677262,1493.66,16800,2019-11-10,10:35:45,38145
27.908295,98.659873,1488.94,19680,2019-11-10,10:37:51,38271
27.899183,98.661464,1488.38,20780,2019-11-10,10:38:47,38327
27.89251,98.673575,1488.1,22240,2019-11-10,10:40:03,38403
27.882269,98.673276,1479.62,23470,2019-11-10,10:41:12,38472
27.880208,98.674708,1489.99,23750,2019-11-10,10:41:27,38487
27.875849,98.679175,1482.38,24460,2019-11-10,10:42:06,38526
27.867223,98.684936,1521.16,25620,2019-11-10,10:43:09,38589
27.861941,98.684654,1518.91,26200,2019-11-10,10:43:37,38617
27.848332,98.684576,1517.47,27740,2019-11-10,10:48:17,38897
27.845101,98.68374,1499.5,28280,2019-11-10,10:48:56,38936
27.838701,98.683743,1468.12,29000,2019-11-10,10:49:29,38969
27.828867,98.688908,1455.81,30250,2019-11-10,10:50:25,39025
27.817624,98.692395,1462.07,31600,2019-11-10,10:51:28,39088
27.815283,98.690765,1477.16,31900,2019-11-10,10:51:45,39105
27.805518,98.683965,1444.13,33200,2019-11-10,10:52:44,39164
27.79672,98.684805,1432.54,34220,2019-11-10,10:54:08,39248
27.791449,98.68169,1425.91,34865,2019-11-10,10:55:14,39314
27.764525,98.677625,1414.99,37977,2019-11-10,10:57:47,39467
27.76284,98.676712,1416.51,38200,2019-11-10,10:58:04,39484
27.760012,98.676153,1423.69,38530,2019-11-10,10:58:21,39501
27.757758,98.675478,1423.32,线路终点,2019-11-10,10:58:38,39518
28.013318,98.628172,1658.68,,2019-11-10,10:21:46,37306
28.013298,98.628749,1662.1,,2019-11-10,10:21:49,37309
28.013334,98.629151,1666.49,,2019-11-10,10:21:52,37312
28.013459,98.629515,1668.36,,2019-11-10,10:21:55,37315
28.013637,98.629841,1666.9,,2019-11-10,10:21:58,37318
28.0138,98.630189,1668.47,,2019-11-10,10:22:01,37321
28.013941,98.630565,1668.6,,2019-11-10,10:22:04,37324
28.01423,98.632081,1674.08,,2019-11-10,10:22:13,37333
28.014157,98.632464,1671.62,,2019-11-10,10:22:16,37336
28.013839,98.632724,1675.19,,2019-11-10,10:22:19,37339
28.01349,98.633017,1676.8,,2019-11-10,10:22:22,37342
28.013137,98.633425,1675.44,,2019-11-10,10:22:25,37345
28.012745,98.633854,1674.59,,2019-11-10,10:22:28,37348
28.012274,98.634277,1675.42,,2019-11-10,10:22:31,37351
28.011774,98.634655,1674.34,,2019-11-10,10:22:34,37354
28.011345,98.63504,1674.89,,2019-11-10,10:22:37,37357
28.011019,98.635346,1676.3,,2019-11-10,10:22:40,37360
28.010712,98.635439,1677.23,,2019-11-10,10:22:43,37363
28.010436,98.63519,1677.65,,2019-11-10,10:22:46,37366
28.01008,98.634921,1677.05,,2019-11-10,10:22:49,37369
28.009695,98.63457,1677.52,,2019-11-10,10:22:52,37372
28.009448,98.634058,1676.33,,2019-11-10,10:22:55,37375
28.009244,98.633496,1676.52,,2019-11-10,10:22:58,37378
28.008931,98.632988,1677.0,,2019-11-10,10:23:01,37381
28.008547,98.63263,1676.09,,2019-11-10,10:23:04,37384
28.008137,98.632491,1673.93,,2019-11-10,10:23:07,37387
28.007772,98.63223,1668.21,,2019-11-10,10:23:10,37390
28.007469,98.631921,1668.06,,2019-11-10,10:23:13,37393
28.007094,98.63196,1665.36,,2019-11-10,10:23:16,37396
28.00674,98.63208,1663.4,,2019-11-10,10:23:19,37399
28.006369,98.631969,1659.61,,2019-11-10,10:23:22,37402
28.005907,98.631787,1655.66,,2019-11-10,10:23:25,37405
28.005352,98.631751,1657.93,,2019-11-10,10:23:28,37408
28.004746,98.631729,1658.34,,2019-11-10,10:23:31,37411
28.004141,98.631656,1659.32,,2019-11-10,10:23:34,37414
28.003574,98.631723,1660.43,,2019-11-10,10:23:37,37417
28.003029,98.631737,1660.94,,2019-11-10,10:23:41,37421
28.002512,98.631781,1660.39,,2019-11-10,10:23:44,37424
28.002144,98.631765,1659.95,,2019-11-10,10:23:47,37427
28.001832,98.63182,1661.93,,2019-11-10,10:23:50,37430
28.001525,98.63211,1660.49,,2019-11-10,10:23:53,37433
28.001143,98.632446,1660.63,,2019-11-10,10:23:56,37436
28.000763,98.63283,1661.6,,2019-11-10,10:23:59,37439
28.000528,98.633357,1668.71,,2019-11-10,10:24:02,37442
28.000344,98.633912,1665.84,,2019-11-10,10:24:05,37445
28.000305,98.634558,1665.55,,2019-11-10,10:24:08,37448
28.000403,98.635228,1667.28,,2019-11-10,10:24:11,37451
28.000543,98.635893,1668.11,,2019-11-10,10:24:14,37454
28.000735,98.636511,1667.2,,2019-11-10,10:24:17,37457
28.001018,98.637052,1666.83,,2019-11-10,10:24:20,37460
28.001298,98.637519,1667.74,,2019-11-10,10:24:23,37463
28.001569,98.6379,1667.98,,2019-11-10,10:24:26,37466
28.001853,98.63836,1669.71,,2019-11-10,10:24:29,37469
28.002282,98.638936,1670.96,,2019-11-10,10:24:32,37472
28.002355,98.639407,1664.88,,2019-11-10,10:24:35,37475
28.002158,98.639825,1662.61,,2019-11-10,10:24:38,37478
28.00186,98.640299,1659.92,,2019-11-10,10:24:41,37481
28.001563,98.640778,1651.0,,2019-11-10,10:24:44,37484
28.001159,98.641186,1643.02,,2019-11-10,10:24:47,37487
28.000656,98.641577,1640.6,,2019-11-10,10:24:50,37490
28.00018,98.642034,1638.22,,2019-11-10,10:24:53,37493
27.999747,98.642457,1635.24,,2019-11-10,10:24:56,37496
27.999226,98.642764,1634.68,,2019-11-10,10:24:59,37499
27.998664,98.64313,1628.41,,2019-11-10,10:25:02,37502
27.998123,98.643563,1623.15,,2019-11-10,10:25:05,37505
27.997581,98.643888,1620.21,,2019-11-10,10:25:08,37508
27.997092,98.644155,1617.8,,2019-11-10,10:25:11,37511
27.996673,98.644577,1614.75,,2019-11-10,10:25:14,37514
27.996264,98.644883,1612.78,,2019-11-10,10:25:17,37517
27.995928,98.644816,1608.23,,2019-11-10,10:25:20,37520
27.99584,98.64445,1604.38,,2019-11-10,10:25:23,37523
27.995841,98.643996,1604.03,,2019-11-10,10:25:26,37526
27.995763,98.643626,1632.86,,2019-11-10,10:25:29,37529
27.995485,98.643479,1613.23,,2019-11-10,10:25:32,37532
27.995111,98.643578,1603.51,,2019-11-10,10:25:35,37535
27.994827,98.643765,1599.45,,2019-11-10,10:25:38,37538
27.994623,98.644145,1595.29,,2019-11-10,10:25:41,37541
27.994387,98.644658,1592.55,,2019-11-10,10:25:44,37544
27.994064,98.645237,1586.24,,2019-11-10,10:25:47,37547
27.993748,98.645848,1581.18,,2019-11-10,10:25:50,37550
27.993438,98.646372,1576.11,,2019-11-10,10:25:53,37553
27.993001,98.646713,1575.82,,2019-11-10,10:25:56,37556
27.992427,98.646804,1574.28,,2019-11-10,10:26:00,37560
27.991863,98.646833,1571.45,,2019-11-10,10:26:03,37563
27.991449,98.646826,1571.65,,2019-11-10,10:26:06,37566
27.991217,98.646599,1572.09,,2019-11-10,10:26:09,37569
27.991209,98.646218,1572.33,,2019-11-10,10:26:12,37572
27.991002,98.645783,1606.32,,2019-11-10,10:26:15,37575
27.990649,98.645408,1584.94,,2019-11-10,10:26:18,37578
27.99019,98.64508,1574.15,,2019-11-10,10:26:21,37581
27.989654,98.644817,1565.9,,2019-11-10,10:26:24,37584
27.989052,98.644765,1560.09,,2019-11-10,10:26:27,37587
27.988443,98.644832,1554.51,,2019-11-10,10:26:30,37590
27.987813,98.644834,1547.93,,2019-11-10,10:26:33,37593
27.987205,98.644709,1541.8,,2019-11-10,10:26:36,37596
27.986678,98.64475,1539.25,,2019-11-10,10:26:39,37599
27.986093,98.645231,1538.35,,2019-11-10,10:26:42,37602
27.985685,98.645688,1538.13,,2019-11-10,10:26:45,37605
27.985212,98.646067,1540.38,,2019-11-10,10:26:48,37608
27.984698,98.646425,1542.98,,2019-11-10,10:26:51,37611
27.984215,98.646823,1544.04,,2019-11-10,10:26:54,37614
27.983784,98.647227,1544.7,,2019-11-10,10:26:57,37617
27.983463,98.64773,1544.48,,2019-11-10,10:27:00,37620
27.98325,98.648338,1543.81,,2019-11-10,10:27:03,37623
27.983035,98.648945,1543.91,,2019-11-10,10:27:06,37626
27.982763,98.649546,1545.06,,2019-11-10,10:27:09,37629
27.982555,98.650151,1546.95,,2019-11-10,10:27:12,37632
27.982366,98.650715,1547.64,,2019-11-10,10:27:15,37635
27.982267,98.651236,1546.18,,2019-11-10,10:27:18,37638
27.982327,98.651722,1547.72,,2019-11-10,10:27:21,37641
27.982525,98.652208,1549.18,,2019-11-10,10:27:24,37644
27.982759,98.652755,1551.44,,2019-11-10,10:27:27,37647
27.983025,98.653254,1555.14,,2019-11-10,10:27:30,37650
27.983129,98.653739,1557.14,,2019-11-10,10:27:33,37653
27.982952,98.654176,1560.11,,2019-11-10,10:27:36,37656
27.982594,98.654588,1558.35,,2019-11-10,10:27:39,37659
27.982129,98.654927,1559.52,,2019-11-10,10:27:42,37662
27.981597,98.655001,1561.49,,2019-11-10,10:27:45,37665
27.981132,98.655031,1560.65,,2019-11-10,10:27:48,37668
27.980728,98.655142,1558.92,,2019-11-10,10:27:51,37671
27.980321,98.655282,1558.77,,2019-11-10,10:27:54,37674
27.979843,98.655428,1560.87,,2019-11-10,10:27:57,37677
27.979301,98.655453,1561.47,,2019-11-10,10:28:00,37680
27.9788,98.655151,1561.92,,2019-11-10,10:28:03,37683
27.978253,98.654879,1561.13,,2019-11-10,10:28:06,37686
27.977622,98.654779,1559.06,,2019-11-10,10:28:10,37690
27.976961,98.654842,1560.19,,2019-11-10,10:28:13,37693
27.976346,98.654949,1560.85,,2019-11-10,10:28:16,37696
27.975721,98.655035,1561.72,,2019-11-10,10:28:19,37699
27.975071,98.655058,1562.09,,2019-11-10,10:28:22,37702
27.974404,98.655141,1561.84,,2019-11-10,10:28:25,37705
27.973735,98.655332,1560.84,,2019-11-10,10:28:28,37708
27.973044,98.655545,1560.3,,2019-11-10,10:28:31,37711
27.972329,98.655802,1557.07,,2019-11-10,10:28:34,37714
27.971663,98.656086,1555.41,,2019-11-10,10:28:37,37717
27.971084,98.656533,1554.14,,2019-11-10,10:28:40,37720
27.970672,98.657177,1534.06,,2019-11-10,10:28:43,37723
27.970399,98.65796,1541.37,,2019-11-10,10:28:46,37726
27.970151,98.659023,1546.01,,2019-11-10,10:28:49,37729
27.969824,98.659727,1545.8,,2019-11-10,10:28:52,37732
27.969426,98.660353,1547.7,,2019-11-10,10:28:55,37735
27.969035,98.660849,1549.04,,2019-11-10,10:28:58,37738
27.968595,98.66114,1547.26,,2019-11-10,10:29:01,37741
27.96821,98.661343,1545.5,,2019-11-10,10:29:04,37744
27.968006,98.661696,1542.48,,2019-11-10,10:29:07,37747
27.967866,98.662079,1526.59,,2019-11-10,10:29:10,37750
27.967809,98.662404,1531.83,,2019-11-10,10:29:13,37753
27.96783,98.662762,1532.96,,2019-11-10,10:29:16,37756
27.968021,98.663044,1533.08,,2019-11-10,10:29:19,37759
27.96838,98.66321,1531.21,,2019-11-10,10:29:22,37762
27.968727,98.663434,1529.66,,2019-11-10,10:29:25,37765
27.968466,98.66381,1529.49,,2019-11-10,10:29:28,37768
27.968221,98.664222,1532.66,,2019-11-10,10:29:31,37771
27.967817,98.664591,1532.31,,2019-11-10,10:29:34,37774
27.967331,98.664899,1533.05,,2019-11-10,10:29:37,37777
27.966811,98.665092,1532.69,,2019-11-10,10:29:40,37780
27.96632,98.665153,1533.55,,2019-11-10,10:29:43,37783
27.965883,98.665324,1532.27,,2019-11-10,10:29:46,37786
27.965402,98.665393,1530.8,,2019-11-10,10:29:49,37789
27.964922,98.665187,1528.79,,2019-11-10,10:29:52,37792
27.964439,98.664848,1527.83,,2019-11-10,10:29:55,37795
27.964034,98.664362,1526.13,,2019-11-10,10:29:58,37798
27.963602,98.663822,1523.76,,2019-11-10,10:30:01,37801
27.963065,98.663255,1519.82,,2019-11-10,10:30:04,37804
27.962542,98.662654,1516.6,,2019-11-10,10:30:07,37807
27.962132,98.66188,1508.74,,2019-11-10,10:30:10,37810
27.961678,98.66111,1505.19,,2019-11-10,10:30:13,37813
27.961263,98.660334,1499.14,,2019-11-10,10:30:17,37817
27.96087,98.65955,1496.78,,2019-11-10,10:30:20,37820
27.960366,98.658855,1497.17,,2019-11-10,10:30:23,37823
27.959842,98.658149,1496.13,,2019-11-10,10:30:26,37826
27.959295,98.657505,1497.74,,2019-11-10,10:30:29,37829
27.958805,98.656918,1500.43,,2019-11-10,10:30:32,37832
27.958419,98.656373,1501.08,,2019-11-10,10:30:35,37835
27.957922,98.655978,1500.26,,2019-11-10,10:30:38,37838
27.957346,98.65572,1502.63,,2019-11-10,10:30:41,37841
27.956757,98.655465,1503.95,,2019-11-10,10:30:44,37844
27.956197,98.655126,1503.85,,2019-11-10,10:30:47,37847
27.955715,98.654634,1501.56,,2019-11-10,10:30:50,37850
27.955169,98.65419,1500.62,,2019-11-10,10:30:53,37853
27.954636,98.653897,1497.53,,2019-11-10,10:30:56,37856
27.953893,98.653585,1493.33,,2019-11-10,10:30:59,37859
27.953293,98.653278,1489.42,,2019-11-10,10:31:02,37862
27.95271,98.652849,1488.57,,2019-11-10,10:31:05,37865
27.952103,98.652401,1487.28,,2019-11-10,10:31:08,37868
27.951409,98.652052,1486.62,,2019-11-10,10:31:11,37871
27.95068,98.651746,1485.14,,2019-11-10,10:31:14,37874
27.949909,98.65155,1485.45,,2019-11-10,10:31:17,37877
27.949103,98.651499,1485.26,,2019-11-10,10:31:20,37880
27.948315,98.651546,1486.79,,2019-11-10,10:31:23,37883
27.94758,98.651667,1488.42,,2019-11-10,10:31:26,37886
27.946875,98.651962,1489.65,,2019-11-10,10:31:29,37889
27.946165,98.65224,1489.34,,2019-11-10,10:31:32,37892
27.945418,98.652412,1489.36,,2019-11-10,10:31:35,37895
27.944664,98.652611,1489.9,,2019-11-10,10:31:38,37898
27.943897,98.652823,1489.81,,2019-11-10,10:31:41,37901
27.943129,98.653087,1490.35,,2019-11-10,10:31:44,37904
27.942393,98.653254,1491.44,,2019-11-10,10:31:47,37907
27.941681,98.653199,1495.19,,2019-11-10,10:31:50,37910
27.940999,98.653089,1496.15,,2019-11-10,10:31:53,37913
27.940499,98.653005,1497.98,,2019-11-10,10:31:56,37916
27.940037,98.652857,1497.34,,2019-11-10,10:31:59,37919
27.939521,98.65269,1496.86,,2019-11-10,10:32:02,37922
27.938919,98.652605,1492.79,,2019-11-10,10:32:05,37925
27.938237,98.652473,1490.28,,2019-11-10,10:32:08,37928
27.937517,98.652409,1486.49,,2019-11-10,10:32:11,37931
27.936844,98.652398,1483.14,,2019-11-10,10:32:14,37934
27.936215,98.652277,1483.32,,2019-11-10,10:32:17,37937
27.935674,98.652138,1484.17,,2019-11-10,10:32:20,37940
27.935223,98.651992,1486.61,,2019-11-10,10:32:23,37943
27.934799,98.651741,1482.74,,2019-11-10,10:32:26,37946
27.934492,98.651538,1481.26,,2019-11-10,10:32:29,37949
27.934194,98.651356,1480.84,,2019-11-10,10:32:32,37952
27.933789,98.651175,1479.6,,2019-11-10,10:32:35,37955
27.933315,98.650978,1479.54,,2019-11-10,10:32:38,37958
27.932788,98.650716,1481.01,,2019-11-10,10:32:41,37961
27.932245,98.650407,1484.11,,2019-11-10,10:32:44,37964
27.931665,98.65013,1485.71,,2019-11-10,10:32:47,37967
27.931082,98.649883,1487.36,,2019-11-10,10:32:50,37970
27.930685,98.649746,1488.09,,2019-11-10,10:32:53,37973
27.929912,98.649627,1491.6,,2019-11-10,10:32:57,37977
27.929383,98.649592,1493.14,,2019-11-10,10:33:00,37980
27.928952,98.649682,1491.64,,2019-11-10,10:33:03,37983
